Character Name,Spell Name,Incantation,Topic Label,Topic_0,Topic_1,Topic_2,Uses
Albus Dumbledore,Portus,portus,,0.023257367,0.953485,0.023257637,1
Albus Dumbledore,Reverse Spell,priori incantatem,LDA Topic 0: Offensive/Dark,0.9726,0.0136991665,0.01370085,1
Albus Dumbledore,Slowing Charm,arresto momentum,,0.015874762,0.9682488,0.015876453,1
Albus Dumbledore,Wand-Lighting Charm,lumos,LDA Topic 2: Defensive/Healing,0.01886952,0.018868754,0.96226174,1
Albus Dumbledore,Water-Making Spell,aguamenti,LDA Topic 0: Offensive/Dark,0.9534813,0.023256576,0.023262132,1
All,Boggart-Banishing Spell,riddikulus,,0.015878074,0.96824616,0.015875746,2
Bellatrix Lestrange,Cruciatus Curse,crucio,LDA Topic 0: Offensive/Dark,0.69028765,0.28645584,0.023256592,2
Dolores Umbridge,Incarcerous Spell,incarcerous,LDA Topic 2: Defensive/Healing,0.01887084,0.018869247,0.96225995,1
Dolores Umbridge,Summoning Charm,accio,LDA Topic 0: Offensive/Dark,0.95347583,0.023260888,0.023263305,1
Draco Malfoy,Snake Summons Spell,serpensortia,LDA Topic 2: Defensive/Healing,0.018875182,0.018868519,0.9622563,1
Filius Flitwick,Levitation Charm,wingardium leviosa,LDA Topic 0: Offensive/Dark,0.9622566,0.018871378,0.01887204,1
Fred Weasley,Summoning Charm,accio,LDA Topic 0: Offensive/Dark,0.95347583,0.023260888,0.023263305,1
George Weasley,Summoning Charm,accio,LDA Topic 0: Offensive/Dark,0.95347583,0.023260888,0.023263305,1
Ghosts,Impediment Jinx,impedimenta,LDA Topic 2: Defensive/Healing,0.023256095,0.023257205,0.95348674,1
Gilderoy Lockhart,Peskipiksi Pesternomi,peskipiksi pesternomi,LDA Topic 0: Offensive/Dark,0.968253,0.015873501,0.015873501,1
Gregory Goyle,Killing Curse,avada kedavra,LDA Topic 0: Offensive/Dark,0.953487,0.023256972,0.023256045,1
Harry Potter,Blasting Curse,confringo,,0.030310577,0.93938595,0.030303435,2
Harry Potter,Cruciatus Curse,crucio,LDA Topic 0: Offensive/Dark,0.69028765,0.28645584,0.023256592,1
Harry Potter,Disarming Charm,expelliarmus,LDA Topic 2: Defensive/Healing,0.023257174,0.023257019,0.9534858,3
Harry Potter,Dissendium,dissendium,,0.023256203,0.95348763,0.023256203,1
Harry Potter,Engorgement Charm,engorgio,,0.023258507,0.95348126,0.0232602,1
Harry Potter,Expulso Curse,expulso,,0.023260288,0.95348346,0.023256293,1
Harry Potter,Impediment Jinx,impedimenta,LDA Topic 2: Defensive/Healing,0.023256095,0.023257205,0.95348674,1
Harry Potter,Imperius Curse,imperio,LDA Topic 0: Offensive/Dark,0.5315231,0.44960847,0.018868467,1
Harry Potter,Levitation Charm,wingardium leviosa,LDA Topic 0: Offensive/Dark,0.9622566,0.018871378,0.01887204,1
Harry Potter,Lumos Maxima,lumos maxima,LDA Topic 0: Offensive/Dark,0.9622629,0.018868806,0.01886828,5
Harry Potter,Patronus Charm,expecto patronum,LDA Topic 0: Offensive/Dark,0.96225065,0.018878317,0.018870993,10
Harry Potter,Protego totalum,protego totalum,,0.0232571,0.4883777,0.48836523,1
Harry Potter,Salvio hexia,salvio hexia,LDA Topic 0: Offensive/Dark,0.953487,0.02325652,0.02325652,1
Harry Potter,Sectumsempra,sectumsempra,LDA Topic 0: Offensive/Dark,0.9393761,0.030309347,0.03031455,2
Harry Potter,Severing Charm,diffindo,LDA Topic 0: Offensive/Dark,0.95347685,0.023260996,0.023262111,1
Harry Potter,Shield Charm,protego,LDA Topic 0: Offensive/Dark,0.97259295,0.013705476,0.013701603,2
Harry Potter,Shrinking Charm,reducio,LDA Topic 0: Offensive/Dark,0.9534736,0.023261,0.023265392,1
Harry Potter,Spider repelling spell,arania exumai,LDA Topic 0: Offensive/Dark,0.9622623,0.018868929,0.018868828,2
Harry Potter,Stunning Spell,stupefy,LDA Topic 0: Offensive/Dark,0.9534776,0.02325971,0.0232627,3
