Character Name,Topic_0,Topic_1,Topic_2,Dominant Topic,Character Profile
Albus Dumbledore,0.3968165898,0.39551165930000004,0.20767176240000002,Topic_0,Offensive/Dark
All,0.015878074,0.96824616,0.015875746,Topic_1,Defensive/Healing
Bellatrix Lestrange,0.69028765,0.28645584,0.023256592,Topic_0,Offensive/Dark
Dolores Umbridge,0.48617333500000004,0.0210650675,0.49276162749999997,Topic_2,Control/Utility
Draco Malfoy,0.018875182,0.018868519,0.9622563,Topic_2,Control/Utility
Filius Flitwick,0.9622566,0.018871378,0.01887204,Topic_0,Offensive/Dark
Fred Weasley,0.95347583,0.023260888,0.023263305,Topic_0,Offensive/Dark
George Weasley,0.95347583,0.023260888,0.023263305,Topic_0,Offensive/Dark
Ghosts,0.023256095,0.023257205,0.95348674,Topic_2,Control/Utility
Gilderoy Lockhart,0.968253,0.015873501,0.015873501,Topic_0,Offensive/Dark
Gregory Goyle,0.953487,0.023256972,0.023256045,Topic_0,Offensive/Dark
Harry Potter,0.5750925414310345,0.12059295284482759,0.3043145067931034,Topic_0,Offensive/Dark
Hermione Granger,0.2893468857857143,0.30461883446428567,0.4060342780357144,Topic_2,Control/Utility
James Potter,0.023256256000000003,0.48837220249999996,0.4883715785,Topic_1,Defensive/Healing
Luna Lovegood,0.023256162,0.023270627,0.9534732,Topic_2,Control/Utility
Neville Longbottom,0.021781353999999996,0.21225484720000004,0.7659637892000001,Topic_2,Control/Utility
Parvati Patil,0.015878074,0.96824616,0.015875746,Topic_1,Defensive/Healing
Professors,0.650530041,0.33602712900000004,0.013442856833333334,Topic_0,Offensive/Dark
Remus Lupin,0.3313344953333333,0.6517904723333333,0.016875012999999998,Topic_1,Defensive/Healing
Rolanda Hooch,0.023256095,0.023257205,0.95348674,Topic_2,Control/Utility
Ron Weasley,0.2612764638333333,0.2491210276666667,0.48960252550000005,Topic_2,Control/Utility
Severus Snape,0.5831454476,0.022381207400000002,0.3944733236,Topic_0,Offensive/Dark
Sirius Black,0.020332612333333333,0.334796066,0.6448713116666668,Topic_2,Control/Utility
Tom Riddle,0.9578746499999999,0.021062724499999998,0.021062674,Topic_0,Offensive/Dark
Voldemort,0.953487,0.023256972,0.023256045,Topic_0,Offensive/Dark
