Character Name,Dialogue,lines
Albus Dumbledore,I should have known that you would be here...Professor McGonagall.,Albus Dumbledore: I should have known that you would be here...Professor McGonagall.
Minerva McGonagall,And the boy?,Minerva McGonagall: And the boy?
Albus Dumbledore,Hagrid is bringing him.,Albus Dumbledore: Hagrid is bringing him.
Minerva McGonagall,Do you think it wise to trust Hagrid with something as important as this?,Minerva McGonagall: Do you think it wise to trust Hagrid with something as important as this?
Albus Dumbledore,The only family he has.,Albus Dumbledore: The only family he has.
Minerva McGonagall,This boy will be famous. There won't be a child in our world who doesn't know his name.,Minerva McGonagall: This boy will be famous. There won't be a child in our world who doesn't know his name.
Albus Dumbledore,Exactly. He's better off growing up away from all that. Until he is ready.,Albus Dumbledore: Exactly. He's better off growing up away from all that. Until he is ready.
Albus Dumbledore,Good luck...Harry Potter.,Albus Dumbledore: Good luck...Harry Potter.
Petunia Dursley,Up. Get up.  Now!,Petunia Dursley: Up. Get up.  Now!
Petunia Dursley,I want everything to be perfect for my Dudley's special day.,Petunia Dursley: I want everything to be perfect for my Dudley's special day.
Dudley Dursley,How many are there?,Dudley Dursley: How many are there?
Vernon Dursley,Thirty-six. Counted 'em myself.,Vernon Dursley: Thirty-six. Counted 'em myself.
Dudley Dursley,Thirty-six?! But last year last year I had thirty-seven!!,Dudley Dursley: Thirty-six?! But last year last year I had thirty-seven!!
Dudley Dursley,I don't care how big they are!,Dudley Dursley: I don't care how big they are!
Petunia Dursley,This will be a lovely day at the zoo. I'm really looking forward to it.,Petunia Dursley: This will be a lovely day at the zoo. I'm really looking forward to it.
Dudley Dursley,Make it move.,Dudley Dursley: Make it move.
Vernon Dursley,Move!,Vernon Dursley: Move!
Dudley Dursley,MOVE!,Dudley Dursley: MOVE!
Harry Potter,He's asleep!,Harry Potter: He's asleep!
Dudley Dursley,He's boring.,Dudley Dursley: He's boring.
Dudley Dursley,Whoa! Ahh! Ahh!!,Dudley Dursley: Whoa! Ahh! Ahh!!
Student,Thanks.,Student: Thanks.
Harry Potter,Anytime.,Harry Potter: Anytime.
Man,SNAKE!,Man: SNAKE!
Petunia Dursley,AHH!,Petunia Dursley: AHH!
Petunia Dursley,It's all right. It's all right.,Petunia Dursley: It's all right. It's all right.
Harry Potter,Ow!,Harry Potter: Ow!
